"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2575","Verify lips category page loads successfully","chromium","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","5322","Verify product actions visibility","firefox","2026-06-05","passed","2026-06-05","Product Details Module","product_testing/product.spec.js","",""
"","2744","Verify desktop page URL remains valid","chromium","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","3789","Verify product listing in category page","firefox","2026-06-05","passed","2026-06-05","Brand & Category Navigation Module","navigation_testing/navigation.spec.js","",""
"","1682","Verify Nykaa homepage loads successfully","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","1732","Verify cart module using soft assertions","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","1511","Verify cart module with polling assertion","webkit","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","4028","Verify cart related flow using test steps","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","2698","Verify browse or shop now text visibility","firefox","2026-06-05","passed","2026-06-05","Wishlist Management Module","wishlist_testing/wishlist.spec.js","",""
"","3930","Verify checkout URL is valid","firefox","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","3866","Verify checkout URL is valid","chromium","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","3703","Verify checkout URL is valid","webkit","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","1490","Verify Shop by Category visibility","webkit","2026-06-05","passed","2026-06-05","Homepage Validation Module","homepage_testing/homepage.spec.js","",""
"","5572","Verify discount visibility","firefox","2026-06-05","passed","2026-06-05","Product Details Module","product_testing/product.spec.js","",""
"","4646","Verify mobile viewport loads successfully","webkit","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","3156","Verify product price visibility","firefox","2026-06-05","passed","2026-06-05","Homepage Validation Module","homepage_testing/homepage.spec.js","",""
"","2792","Verify profile access page content loads","chromium","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","3151","Verify mobile viewport loads successfully","chromium","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","1042","Verify recommendation section using soft assertions","chromium","2026-06-05","passed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","3938","Verify filter section visibility","chromium","2026-06-05","passed","2026-06-05","Search Module","search_testing/search.spec.js","",""
"","4026","Verify mobile page URL remains valid","firefox","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","3178","Verify checkout page using soft assertions","chromium","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","2204","Verify cart module content does not crash","webkit","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","2390","Verify recommendation page refresh works successfully","chromium","2026-06-05","passed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","2945","Verify wishlist icon visibility on category page","firefox","2026-06-05","passed","2026-06-05","Wishlist Management Module","wishlist_testing/wishlist.spec.js","",""
"","2029","Verify top navigation menu visibility","webkit","2026-06-05","passed","2026-06-05","Homepage Validation Module","homepage_testing/homepage.spec.js","",""
"","2196","Verify sign in text is visible for guest user","webkit","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","2997","Verify recommendation page on tablet viewport","webkit","2026-06-05","passed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","1314","Verify Nykaa logo visibility","chromium","2026-06-05","passed","2026-06-05","Homepage Validation Module","homepage_testing/homepage.spec.js","",""
"","747","Verify recommendation page contains product brand or product name","chromium","2026-06-05","passed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","1931","Verify homepage title","firefox","2026-06-05","passed","2026-06-05","Homepage Validation Module","homepage_testing/homepage.spec.js","",""
"","1839","Verify recommendation page on tablet viewport","chromium","2026-06-05","passed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","3853","Verify mobile page URL remains valid","webkit","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","3612","Verify product image visibility","chromium","2026-06-05","passed","2026-06-05","Product Details Module","product_testing/product.spec.js","",""
"","3658","Verify sorting functionality visibility","firefox","2026-06-05","passed","2026-06-05","Search Module","search_testing/search.spec.js","",""
"","1686","Verify cart module with polling assertion","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","1730","Verify product price is visible before cart action","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","1454","Verify recommendation page contains product brand or product name","webkit","2026-06-05","passed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","5803","Verify recommended product price information visibility","chromium","2026-06-05","failed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","1804","Verify sign in text is visible for guest user","firefox","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","3619","Verify sorting functionality visibility","chromium","2026-06-05","passed","2026-06-05","Search Module","search_testing/search.spec.js","",""
"","3792","Verify responsive page with polling assertion","firefox","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","2506","Verify account page with polling assertion","chromium","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","1612","Verify cart page loads successfully","firefox","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
